,finger,t,px,py,pz,fx,fy,fz,nx,ny,nz,taux,tauy,tauz,vx,vy,vz
793,MF,23,0.10493160337760095,-0.331485,1.0080546038173648,0.0956402439005268,0.0938655557432401,-0.140977512624181,0.0,-1.0,0.0,0.0008969322829140321,0.000756425640091522,0.0011121286825632982,-0.00014535181578345657,0.0,-0.0015497744571368877
794,MF,23,0.10468881860350954,-0.3314631376653419,1.0080471327022535,0.06552259700835593,0.04686513588591437,-0.0712551975708439,0.0,-1.0,0.0,0.0004744924278704696,0.0005295974036838098,0.0007846393291907647,-0.0024278477409141186,0.00021862334658062643,-7.471115111234994e-05
795,MF,23,0.10468200320716071,-0.331485,1.0094065271530344,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-6.815396348822111e-05,-0.00021862334658062643,0.013593944507808153
796,MF,23,0.10306864642083574,-0.331485,1.0096698940166535,1.231077743826532e-153,1.3270323673277183e-153,9.712997604858283e-154,0.0,-1.0,0.0,-2.2923721633190864e-155,8.92736515447711e-156,1.6857804006006683e-155,-0.016133567863249737,0.0,0.002633668636191633
797,MF,23,0.1039302045754602,-0.331485,1.0095446374370682,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.008615581546244644,0.0,-0.0012525657958528669
798,MF,23,0.10307877243188696,-0.33142603434669904,1.009011868796438,3.4800254117291904e-103,3.7512710985511493e-103,2.745681875770533e-103,0.0,-1.0,0.0,-6.49080724148399e-105,2.708113143203238e-105,4.526856402039373e-105,-0.008514321435732497,0.0005896565330093528,-0.005327686406302323
799,RF,23,0.10481858958549056,-0.331485,0.9885759682975718,0.12624045071038847,2.588428280307375,-2.6704693982374197,0.0,-1.0,0.0,0.009058471568828504,0.0014811590653618476,0.001863874399496068,0.017398171536036067,-0.0005896565330093528,-0.20435900498866233
800,RF,23,0.1049495646278932,-0.331485,0.9883675623273105,0.015396683639114922,0.2553697879866204,-0.35809259492436996,0.0,-1.0,0.0,0.0020537936750940735,0.00011062441842210972,0.0001671962687937764,0.0013097504240264235,0.0,-0.0020840597026128282
801,RF,23,0.10447907492176309,-0.3314334795021953,0.9883635997979454,0.02825746591849257,0.22630175021757867,-0.3176788705853301,0.0,-1.0,0.0,0.0019682863965553403,0.0002275316932288767,0.00033716314207113407,-0.004704897061301172,0.0005152049780465795,-3.9625293650757953e-05
802,RF,23,0.10476325818716478,-0.331485,0.9875685106163037,0.032503029363187774,0.3430389100864376,-0.4813073865982255,0.0,-1.0,0.0,0.0028337330949038658,-0.0001259999947645214,0.00010156089533897733,0.0028418326540169403,-0.0005152049780465795,-0.007950891816417283
803,RF,23,0.10472733907137902,-0.331485,0.987398746596817,0.02624170961074873,0.11804650313803669,-0.16598492773157963,0.0,-1.0,0.0,0.0009843647455457303,7.07600613333262e-05,0.0002059487694038257,-0.0003591911578576523,0.0,-0.001697640194866512
804,RF,23,0.10448386650605236,-0.33145891446915415,0.9873899027483287,0.04260319856784238,0.12474232250538439,-0.17575303673595,0.0,-1.0,0.0,0.001085652471540606,0.0002044186596484614,0.000408254261327499,-0.0024347256532665507,0.0002608553084582077,-8.843848488315764e-05
805,RF,23,0.1044644005764605,-0.331485,0.9890975086103677,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.0001946592959185811,-0.0002608553084582077,0.017076058620389967
806,RF,23,0.10306054079399266,-0.331485,0.9895009474039469,1.0227916154491461e-128,1.1213980861964498e-128,8.233990842715079e-129,0.0,-1.0,0.0,-1.9569372843073345e-130,7.206290938179624e-131,1.4493906812396906e-130,-0.014038597824678478,0.0,0.0040343879357918055
807,RF,23,0.10384899799509877,-0.331485,0.9893588679960811,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.007884572011061103,0.0,-0.0014207940786581386
808,RF,23,0.10287095498849783,-0.3313795962911708,0.9883472773487931,0.1092294282357536,0.3176284812633712,-0.4475336840592884,0.0,-1.0,0.0,0.0034271385169217542,0.0007937162382409058,0.0013997857285567709,-0.009780430066009399,0.0010540370882916594,-0.010115906472879521
809,LF,23,0.10202441725373922,-0.331485,0.9653610745457254,0.09268594704447386,2.088438515910763,-1.1043189647382652,0.0,-1.0,0.0,-0.0015881691810238536,0.0006480972175504141,0.0010923567058931632,-0.008465377347586095,-0.0010540370882916594,-0.22986202803067735
810,LF,23,0.102051343837815,-0.331485,0.9653313420513158,0.0014330861466013978,0.20770348895902574,-0.26052817013163765,0.0,-1.0,0.0,0.001812760321644037,-1.2211813600754228e-05,2.3569586594712668e-07,0.000269265840757843,0.0,-0.00029732494409628885
811,LF,23,0.1020255956246259,-0.3314816118038874,0.9653149186736143,-0.008690827127681464,0.04032157327466063,-0.05040946680743594,0.0,-1.0,0.0,0.00035104139270999334,-7.222468329680868e-05,-0.00011829232277487418,-0.0002574821318909737,3.3881961125636906e-05,-0.00016423377701468844
812,LF,23,0.10206459122759833,-0.331485,0.9653153452601257,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.00038995602972421994,-3.3881961125636906e-05,4.265865114483347e-06
813,LF,23,0.10202575875081354,-0.331485,0.9652054978381107,-0.013737489374547364,0.055807233841767445,-0.06973760631457025,0.0,-1.0,0.0,0.0004851061393904873,-0.0001207021299238042,-0.00019215159701376134,-0.00038832476784780856,0.0,-0.0010984742201503028
814,LF,23,0.10035327201456712,-0.331485,0.9653620329038963,0.1487738336230886,1.7253751008127223,-1.2398079250989058,0.0,-1.0,0.0,0.006082069705832551,0.0008588568279840552,0.0019250586839698138,-0.016724867362464257,0.0,0.0015653506578561238
815,LF,23,0.10046188561738933,-0.331485,0.9653651074023317,0.02385700566985516,0.023098980909906267,-0.02941488773299799,0.0,-1.0,0.0,0.0002491379412758048,0.0001457222659596054,0.0003164969114159958,0.0010861360282221622,0.0,3.074498435395867e-05
816,LF,23,0.10035379800829997,-0.3314799696273378,0.9652968643844392,0.07573615116541593,0.11534046346055447,-0.14606994328827805,0.0,-1.0,0.0,0.0012479609220920518,0.00044307918537387703,0.0009969245715900083,-0.0010808760908936899,5.030372662195859e-05,-0.0006824301789254417
